MARKER_ID,SHOP_NAME,SHOP_ADDRESS,LATITUDE,LONGITUDE,LIST_ATT
FLC,"80006-LC HCM 72 Tân Mỹ, P. Tân Mỹ","72 Tân Mỹ, P. Tân Phú, Q. 7, TP. Hồ Chí Minh",10.736326,106.717994,Bệnh viện; Chợ; Ðối thủ; Trường học
FLC,"80007-LC HCM 422-424 CMT8, P. Nhiêu Lộc","422-424 Cách Mạng Tháng Tám, P. 11, Q. 3, TP. Hồ Chí Minh",10.783764,106.67088,Bệnh viện; Chợ; Ðối thủ; Trường học
FLC,"80008-LC HCM 94-96 Nguyễn Văn Nghi, P. An Nhơn","94-96 Nguyễn Văn Nghi, P. 5, Q. Gò Vấp, TP. Hồ Chí Minh",10.823002,106.688169,Chợ; Trường học
FLC,"80009-LC HCM 1008-1010 Âu Cơ, P. Tân Bình","1008 - 1010 Âu Cơ, P. 14, Q. Tân Bình, TP. Hồ Chí Minh",10.799065,106.637296,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80010-LC HCM 501-503 Nguyễn Duy Trinh, P. Bình Trưng","501 - 503 Nguyễn Duy Trinh, P. Bình Trưng Đông, TP. Thủ Đức, TP. Hồ Chí Minh",10.788572,106.7691,Chợ; Cụm Chung Cư / Đô Thị Mới; Trường học; UBND Phường/Xã
FLC,"80011-LC HCM 489 Huỳnh Tấn Phát, P. Tân Thuận","489 Huỳnh Tấn Phát, P. Tân Thuận Đông, Q. 7, TP. Hồ Chí Minh",10.745128,106.72943,Chợ; Ðối thủ; Khu công nghiệp; Trường học; UBND Phường/Xã
FLC,"80012-LC HCM 169 Phạm Hữu Lầu, P. Phú Thuận","169 Phạm Hữu Lầu, P. Phú Mỹ, Q. 7, TP. Hồ Chí Minh",10.704473,106.732556,Chợ; Ðối thủ; Trường học
FLC,"80013-LC HCM 6/60 Trưng Nữ Vương, X. Hóc Môn","6/60 Trưng Nữ Vương, khu phố 5, TT. Hóc Môn, H. Hóc Môn, TP. Hồ Chí Minh",10.888452,106.596599,Chợ; Ðối thủ; Phòng khám / TYT; Trường học; UBND Phường/Xã
FLC,"80015-LC HCM 207 Đường 3/2, P. Vườn Lài","207 Đường 3/2, P. 11, Q. 10, TP. Hồ Chí Minh",10.771458,106.674206,Bệnh viện; Chợ; Cụm Chung Cư / Đô Thị Mới; Ðối thủ; Trường học
FLC,"80016-LC HCM 404 Nguyễn Oanh, P. An Nhơn","404 Nguyễn Oanh, P. 6, Q. Gò Vấp, TP. Hồ Chí Minh",10.842997,106.677144,Chợ; Ðối thủ; Trường học
FLC,"80017-LC HCM 7 Lê Đại Hành, P. Phú Thọ","7 Lê Đại Hành, P. 15, Q. 11, TP.Hồ Chí Minh",10.768866,106.65269,Chợ; Cụm Chung Cư / Đô Thị Mới; Ðối thủ; Trường học
FLC,"80018-LC HCM 105 Lê Văn Thọ, P. Thông Tây Hội","105 Lê Văn Thọ, P. 8, Q. Gò Vấp, TP. Hồ Chí Minh",10.839683,106.657372,Chợ; Ðối thủ; Trường học; UBND Phường/Xã
FLC,"80019-LC HCM 28 Phú Châu, P. Tam Bình","28 Phú Châu, P. Tam Phú, TP. Thủ Đức, TP. Hồ Chí Minh",10.863825,106.745911,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80020-LC HCM 162-164 Âu Dương Lân, P. Chánh Hưng","162-164 Âu Dương Lân, P. Rạch Ông, Q. 8, TP. Hồ Chí Minh",10.745448,106.683139,Chợ; Ðối thủ; Trường học
FLC,"80021-LC HCM 771 Nguyễn Kiệm, P. Hạnh Thông","771 Nguyễn Kiệm, P. 3, Q. Gò Vấp, TP. Hồ Chí Minh",10.817837,106.678684,Bệnh viện; Ðối thủ; Trường học
FLC,"80022-LC HCM 512 Hồng Bàng, P. Phú Lâm","512 Hồng Bàng, P. 12, Q. 6, TP. Hồ Chí Minh",10.753691,106.634733,Chợ; Ðối thủ; Trường học
FLC,"80023-LC HCM 337 Lê Văn Quới, P. Bình Tân","337 Lê Văn Quới, Khu phố 5, P. Bình Trị Đông A, Q. Bình Tân, TP. Hồ Chí Minh",10.776097,106.608893,Ðối thủ; Trường học
FLC,"80024-LC DNI 562 Quốc Lộ 1A, P. Long Bình","562 Quốc Lộ 1A, KP10, P. Tân Biên, TP. Biên Hòa, Tỉnh Đồng Nai",10.967826,106.900969,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80025-LC HCM 237A Phan Văn Trị, P. Bình Lợi Trung","237A Phan Văn Trị, P. 11, Q. Bình Thạnh, TP. Hồ Chí Minh",10.813781,106.695179,Chợ; Ðối thủ; Trường học
