MARKER_ID,SHOP_NAME,SHOP_ADDRESS,LATITUDE,LONGITUDE
PMC,DNPMC1707_Số 126 Đường Ngũ Hành Sơn,"Số 126 Đường Ngũ Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",16.0494879453,108.2379074577
PMC,HNPMC1653_11 Thái Phiên,"11 Thái Phiên, Phường Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội",21.0105713488,105.8510659264
PMC,HNPMC1681_330 Đường Hoàng Văn Thụ,"330 Đường Hoàng Văn Thụ, Phường Quang Trung, Thành phố Nam Định, Tỉnh Nam Định",20.4301401896,106.1739407834
PMC,SGPMC1612_35 Trần Hưng Đạo,"35 Trần Hưng Đạo, Thị trấn Ba Tri, Huyện Ba Tri, Tỉnh Bến Tre",10.0417988562,106.5937030563
PMC,SGPMC1691_67 Bình Thới,"67 Bình Thới, Phường Phú Thọ, Quận 11, Thành phố Hồ Chí Minh",10.7676126772,106.6497892339
PMC,SGPMC1695_137 Bình Long,"137 Bình Long, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh",10.7797505751,106.6202511816
PMC,DNPMC1708_356 Hoàng Diệu,"356 Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu, Thành phố Đà Nẵng",16.0565292022,108.2170946132
PMC,DNPMC1715_4D Đường Biệt Thự,"4D Đường Biệt Thự, Phường Lộc Thọ, Thành phố Nha Trang, Tỉnh Khánh Hòa",12.2357020939,109.1960367594
PMC,HNPMC1571_Số 27 Nguyễn Thị Minh Khai,"Số 27 Nguyễn Thị Minh Khai, Phường Lê Mao, Thành phố Vinh, Tỉnh Nghệ An",18.6713274095,105.6823382427
PMC,HNPMC1605_Tầng 2,"Tầng 2, Phường Tân Mai, Quận Hoàng Mai, Thành phố Hà Nội",20.9840686621,105.8473164292
PMC,HNPMC1690_685 Đường Hoàng Hoa Thám,"685 Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Thành phố Hà Nội",21.0474192053,105.807637632
PMC,SGPMC1599_296 Ngô Quyền,"296 Ngô Quyền, Phường Tân An, Thị xã La Gi, Tỉnh Bình Thuận",10.6835338667,107.7502751201
PMC,SGPMC1619_20-LK3A,"20-LK3A, Phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh",10.8657728767,106.6645479054
PMC,DNPMC1603_315 Nguyễn Công Phương,"315 Nguyễn Công Phương, Phường Nghĩa Lộ, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi",15.1133998,108.7942526
PMC,DNPMC1620_Ki ốt số 8 (T.01),"Ki ốt số 8 (T.01), Phường Vĩnh Phước, Thành phố Nha Trang, Tỉnh Khánh Hòa",12.2740262957,109.2019397728
PMC,DNPMC1637_120 Hồ Nghinh,"120 Hồ Nghinh, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng",16.0738573712,108.2430127613
PMC,HNPMC1593_Thửa đất số 136,"Thửa đất số 136, Phường Vĩnh Hưng, Quận Hoàng Mai, Thành phố Hà Nội",20.9843207665,105.873720684
PMC,HNPMC1635_559 Kim Ngưu,"559 Kim Ngưu, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội",20.9987059657,105.8620923351
PMC,HNPMC1682_B6-01-05,"B6-01-05, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội",21.0523911351,105.7803199154
PMC,SGPMC1611_561 Đường QL14,"561 Đường QL14, Phường Tân Bình, Thị xã Đồng Xoài, Tỉnh Bình Phước",11.5362295329,106.8964663185
PMC,SGPMC1644_1.07,"1.07, Phường Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh",10.8386718482,106.8347493467
PMC,SGPMC1668_Lô B01-02 Lâm Quang Ky,"Lô B01-02 Lâm Quang Ky, Phường An Hòa, Thành phố Rạch Giá, Tỉnh Kiên Giang",9.9771919,105.0989597
PMC,DNPMC1579_387 Kinh Dương Vương,"387 Kinh Dương Vương, Phường Hòa Minh, Quận Liên Chiểu, Thành phố Đà Nẵng",16.0799862,108.1616529
PMC,DNPMC1596_314 Nguyễn Tất Thành,"314 Nguyễn Tất Thành, Phường Phù Đổng, Thành phố Pleiku, Tỉnh Gia Lai",13.9716607275,108.0151550159
PMC,DNPMC1669_Số 122 Đường Trần Hưng Đạo,"Số 122 Đường Trần Hưng Đạo, Phường Chánh Lộ, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi",15.1191135196,108.8022583111
PMC,HNPMC1580_Số 157,"Số 157, Phường Hưng Dũng, Thành phố Vinh, Tỉnh Nghệ An",18.68432,105.698982
PMC,SGPMC1655_240/35F Nguyễn Văn Luông,"240/35F Nguyễn Văn Luông, Phường 11, Quận 6, Thành phố Hồ Chí Minh",10.7458569281,106.6369805095
PMC,SGPMC1665_C18,"C18, Phường Hoà Phú, Thành phố Thủ Dầu Một, Tỉnh Bình Dương",11.0465862,106.6784788
PMC,HNPMC1613_BT10-VT12 Khu nhà ở Xa La,"BT10-VT12 Khu nhà ở Xa La, Phường Phúc La, Quận Hà Đông, Thành phố Hà Nội",20.9618079895,105.7951746696
PMC,HNPMC1651_Số 54 Phố Xốm,"Số 54 Phố Xốm, Phường Phú Lãm, Quận Hà Đông, Thành phố Hà Nội",20.9458179924,105.7568817112
PMC,SGPMC1602_Số nhà 229 Khu phố 5,"Số nhà 229 Khu phố 5, Phường Long Phước, Thị xã Phước Long, Tỉnh Bình Phước",11.815951718,106.9550597424
PMC,SGPMC1625_447A/23,"447A/23, Phường Bình Khánh, Thành phố Long Xuyên, Tỉnh An Giang",10.3927629,105.4271963
PMC,SGPMC1630_70 Cây Keo,"70 Cây Keo, Phường Hiệp Tân, Quận Tân Phú, Thành phố Hồ Chí Minh",10.7715118412,106.6294498624
PMC,SGPMC1638_110 Nguyễn An Ninh,"110 Nguyễn An Ninh, Phường 7, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",10.370124383,107.080160418
PMC,SGPMC1646_1.01,"1.01, Phường Long Bình, Quận 9, Thành phố Hồ Chí Minh",10.845071951,106.8367531131
PMC,DNPMC1606_26C Cao Bá Quát,"26C Cao Bá Quát, Phường Phước Tân, Thành phố Nha Trang, Tỉnh Khánh Hòa",12.2421601,109.1826605
PMC,HNPMC1600_15BT.14 Khu Đô Thị Mới Bắc Đại Kim mở rộng,"15BT.14 Khu Đô Thị Mới Bắc Đại Kim mở rộng, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội",20.9788273226,105.8360213804
PMC,HNPMC1667_Số 94 Đường Đình Đoài,"Số 94 Đường Đình Đoài, , Quận Đồ Sơn, Thành phố Hải Phòng",20.7155921551,106.7870180225
PMC,HNPMC1657_Số 42 Phố Nhổn,"Số 42 Phố Nhổn, Phường Tây Tựu, Quận Bắc Từ Liêm, Thành phố Hà Nội",21.0550456433,105.7317028021
PMC,SGPMC1578_37 Nguyễn Tất Thành,"37 Nguyễn Tất Thành, Phường Long Phước, Thị xã Phước Long, Tỉnh Bình Phước",11.8128724164,106.9542033692
PMC,SGPMC1624_173 Lê Hồng Phong,"173 Lê Hồng Phong, Phường Phú Trinh, Thành phố Phan Thiết, Tỉnh Bình Thuận",10.9362510452,108.1035940402
PMC,SGPMC1647_06 Đường 3 tháng 2,"06 Đường 3 tháng 2, Phường 1, Thành phố Đà Lạt, Tỉnh Lâm Đồng",11.9428477809,108.4355482646
PMC,SGPMC1698_187 Tên Lửa,"187 Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh",10.7481253342,106.6118706577
PMC,DNPMC1697_1-12-Ct1 Đường 19 Tháng 5,"1-12-Ct1 Đường 19 Tháng 5, Xã Vĩnh Hiệp, Thành phố Nha Trang, Tỉnh Khánh Hòa",12.2557590986,109.1699096916
PMC,DNPMC1699_Số 371 Đường Quang Trung,"Số 371 Đường Quang Trung, Phường Nguyễn Nghiêm, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi",15.1232477479,108.8036354248
PMC,DNPMC1581_68D Phương Sài,"68D Phương Sài, Phường Phương Sài, Thành phố Nha Trang, Tỉnh Khánh Hòa",12.2518613351,109.1835667215
PMC,SGPMC1587_1.02,"1.02, Phường Long Bình, Quận 9, Thành phố Hồ Chí Minh",10.8426280466,106.8373317415
PMC,SGPMC1617_1.02 T1,"1.02 T1, Phường Long Bình, Quận 9, Thành phố Hồ Chí Minh",10.844183,106.836296
PMC,SGPMC1621_CH số 31 Đường Nội khu,"CH số 31 Đường Nội khu, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh",10.7239028879,106.7279109328
PMC,SGPMC1622_25 Nguyễn Huệ,"25 Nguyễn Huệ, Phường 2, Thị xã Gò Công, Tỉnh Tiền Giang",10.3601911711,106.6785428554
PMC,SGPMC1672_SH-13 KCH TMDV Trước Sông,"SH-13 KCH TMDV Trước Sông, Phường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh",10.776914,106.751582
PMC,SGPMC1704_106 Hoàng Hoa Thám,"106 Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh",10.7996271,106.6472485
PMC,DNPMC1594_81 Hoàng Văn Thụ,"81 Hoàng Văn Thụ, Phường Quang Trung, Thành phố Quy Nhơn, Tỉnh Bình Định",13.7610676935,109.2079646642
PMC,DNPMC1694_59 Nguyễn Thị Minh Khai,"59 Nguyễn Thị Minh Khai, Phường Tân Tiến, Thành phố Nha Trang, Tỉnh Khánh Hòa",12.2381545208,109.191691287
PMC,HNPMC1654_Số 193 Phạm Vấn,"Số 193 Phạm Vấn, Phường Đông Vệ, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",19.7957116,105.7826722
PMC,SGPMC1683_444 Lý Thường Kiệt,"444 Lý Thường Kiệt, Phường 07, Quận Tân Bình, Thành phố Hồ Chí Minh",10.785589,106.6540102
PMC,HNPMC1592_Số 176 Nguyễn Huy Tưởng,"Số 176 Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội",20.9972956051,105.8036541206
PMC,HNPMC1616_Căn 0101-CT2B & 0102-CT2B,"Căn 0101-CT2B & 0102-CT2B, Phường Thượng Thanh, Quận Long Biên, Thành phố Hà Nội",21.056659962,105.8844914209
PMC,HNPMC1680_133 Đường Tô Hiệu,"133 Đường Tô Hiệu, Phường Hà Cầu, Quận Hà Đông, Thành phố Hà Nội",20.9660900214,105.7768115535
PMC,HNPMC1679_Số 78 Đường Hà Huy Tập,"Số 78 Đường Hà Huy Tập, Phường Hà Huy Tập, Thành phố Vinh, Tỉnh Nghệ An",18.6903394427,105.6795216498
PMC,HNPMC1649_Số 215 Phố Xốm,"Số 215 Phố Xốm, Phường Phú Lương, Quận Hà Đông, Thành phố Hà Nội",20.9421998456,105.7569008685
PMC,SGPMC1604_726 Võ Thị Sáu,"726 Võ Thị Sáu, Thị trấn Long Hải, Huyện Long Điền, Tỉnh Bà Rịa - Vũng Tàu",10.3957569612,107.2295970518
PMC,SGPMC1634_1867 Huỳnh Tấn Phát,"1867 Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Thành phố Hồ Chí Minh",10.6997935025,106.7384325432
PMC,SGPMC1671_147 Đường 2 Tháng 9,"147 Đường 2 Tháng 9, Phường 8, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",10.3587998106,107.0904118549
PMC,SGPMC1689_270 Lý Thái Tổ,"270 Lý Thái Tổ, Phường 1, Quận 3, Thành phố Hồ Chí Minh",10.7672448487,106.6763783059
PMC,DNPMC1633_30 Lê Văn Thứ,"30 Lê Văn Thứ, Phường Mân Thái, Quận Sơn Trà, Thành phố Đà Nẵng",16.0852013366,108.2426329144
